AMAPCODE;AMPA State;AMAP LGA;State;LGA;LGA from Facilities
NIE;KNS;GNM;Kano;Garum Mallam;Garum Mallam
NIE;KNS;GYA;Kano;Gaya;Gaya
NIE;KNS;GZW;Kano;Gezawa;Gezawa
NIE;KNS;GWL;Kano;Gwale;Gwale
NIE;KNS;GRZ;Kano;Gwarzo;Gwarzo
NIE;KNS;KBK;Kano;Kabo;Kabo
NIE;KNS;KMC;Kano;Kano Municipal;Kano Municipal
NIE;KNS;KRY;Kano;Karaye;Karaye
NIE;KNS;KBY;Kano;Kibiya;Kibiya
NIE;KNS;KKU;Kano;Kiru;Kiru
NIE;KNS;KBT;Kano;Kumbotso;Kumbotso
NIE;KNS;KNC;Kano;Kunchi;Kunchi
NIE;KNS;KUR;Kano;Kura;Kura
NIE;KNS;MDB;Kano;Madobi;Madobi
NIE;KNS;MKK;Kano;Makoda;Makoda
NIE;KNS;MJB;Kano;Minjibir;Minjibir
NIE;KNS;NSR;Kano;Nassarawa;Nassarawa
NIE;KNS;RAN;Kano;Rano;Rano
NIE;KNS;RMG;Kano;Rimin Gado;Rimin Gado
NIE;KNS;RGG;Kano;Rogo;Rogo
NIE;KNS;SNN;Kano;Shanono;Shanono
NIE;KNS;SML;Kano;Sumaila;Sumaila
NIE;KNS;TAK;Kano;Takai;Takai
NIE;KNS;TRN;Kano;Tarauni;Tarauni
NIE;KNS;TFA;Kano;Tofa;Tofa
NIE;KNS;TYW;Kano;Tsanyawa;Tsanyawa
NIE;KNS;TWD;Kano;Tudun Wada;Tudun Wada
NIE;KNS;UGG;Kano;Ungongo;Ungogo
NIE;KNS;WRA;Kano;Warawa;Warawa
NIE;KNS;WDL;Kano;Wudil;Wudil
NIE;KTS;BKR;Katsina;Bakori;Bakori
NIE;KTS;BAT;Katsina;Batagarawa;Batagarawa
NIE;KTS;BTR;Katsina;Batsari;Batsari
NIE;KTS;BRE;Katsina;Baure;Baure
NIE;KTS;BDW;Katsina;Bindawa;Bindawa
NIE;KTS;CRC;Katsina;Charanchi;Charanchi
NIE;KTS;DMS;Katsina;Dan Musa;Dan Musa
NIE;KTS;DDM;Katsina;Dandume;Dandume
NIE;KTS;DJA;Katsina;Danja;Danja
NIE;KTS;DRA;Katsina;Daura;Daura
NIE;KTS;DTS;Katsina;Dutsi;Dutsi
NIE;KTS;DTM;Katsina;Dutsin Ma;Dutsin-Ma
NIE;KTS;FSK;Katsina;Faskari;Faskari
NIE;KTS;FTA;Katsina;Funtua;Funtua
NIE;KTS;NGW;Katsina;Ingawa;Ingawa
NIE;KTS;JBY;Katsina;Jibia;Jibia
NIE;KTS;KFR;Katsina;Kafur;Kafur
NIE;KTS;KAT;Katsina;kaita;Kaita
NIE;KTS;KKR;Katsina;Kankara;Kankara
NIE;KTS;KNK;Katsina;Kankia;Kankia
NIE;KTS;KTN;Katsina;Katsina;Katsina
NIE;KTS;KUF;Katsina;Kurfi;Kurfi
NIE;KTS;KSD;Katsina;Kusada;Kusada
NIE;KTS;MDW;Katsina;Mai'Adua;Mai'Adua
NIE;KTS;MLF;Katsina;Malumfashi;Malumfashi
NIE;KTS;MAN;Katsina;Mani;Mani
NIE;KTS;MSH;Katsina;Mashi;Mashi
NIE;KTS;MTZ;Katsina;Matazu;Matazu
NIE;KTS;MSW;Katsina;Musawa;Musawa
NIE;KTS;RMY;Katsina;Rimi;Rimi
NIE;KTS;SBA;Katsina;Sabuwa;Sabuwa
NIE;KTS;SFN;Katsina;Safana;Safana
NIE;KTS;SDM;Katsina;Sandamu;Sandamu
NIE;KTS;ZNG;Katsina;Zango;Zango
NIE;KBS;ALR;Kebbi;Aleiro;Aleiro
NIE;KBS;KGW;Kebbi;Arewa Dandi;Arewa
NIE;KBS;ARG;Kebbi;Argungu;Argungu
NIE;KBS;AUG;Kebbi;Augie;Augie
NIE;KBS;BGD;Kebbi;Bagudo;Bagudo
NIE;KBS;BRK;Kebbi;Birnin Kebbi;Birnin Kebbi
NIE;KBS;BNZ;Kebbi;Bunza;Bunza
NIE;KBS;KMB;Kebbi;Dandi;Dandi
NIE;KBS;MHT;Kebbi;Fakai;Fakai
NIE;KBS;GWN;Kebbi;Gwandu;Gwandu
NIE;KBS;JEG;Kebbi;Jega;Jega
NIE;KBS;KLG;Kebbi;Kalgo;Kalgo
NIE;KBS;BES;Kebbi;Koko/Besse;Koko/Besse
NIE;KBS;MYM;Kebbi;Maiyama;Maiyama
NIE;KBS;WRR;Kebbi;Ngaski;Ngaski
NIE;KBS;DRD;Kebbi;Sakaba;Sakaba
